ID,NAME,MUNICIPALITY,DISTRICT,CANTON,COUNTRY
3118,Mauborget,Mauborget,District du Jura-Nord vaudois,VD,CH
3119,Mutrux,Mutrux,District du Jura-Nord vaudois,VD,CH
3120,Novalles,Novalles,District du Jura-Nord vaudois,VD,CH
3121,Onnens VD,Onnens (VD),District du Jura-Nord vaudois,VD,CH
3122,Provence,Provence,District du Jura-Nord vaudois,VD,CH
3123,Ste-Croix,Sainte-Croix,District du Jura-Nord vaudois,VD,CH
3124,La Sagne (Ste-Croix),Sainte-Croix,District du Jura-Nord vaudois,VD,CH
3125,Le Château-de-Ste-Croix,Sainte-Croix,District du Jura-Nord vaudois,VD,CH
3126,L'Auberson,Sainte-Croix,District du Jura-Nord vaudois,VD,CH
3127,La Vraconnaz,Sainte-Croix,District du Jura-Nord vaudois,VD,CH
3128,Villars-Burquin,Tévenon,District du Jura-Nord vaudois,VD,CH
3129,Fontanezier,Tévenon,District du Jura-Nord vaudois,VD,CH
3130,Romairon,Tévenon,District du Jura-Nord vaudois,VD,CH
3131,Vaugondry,Tévenon,District du Jura-Nord vaudois,VD,CH
3132,Belmont-sur-Lausanne,Belmont-sur-Lausanne,District de Lavaux-Oron,VD,CH
3133,Cheseaux-sur-Lausanne,Cheseaux-sur-Lausanne,District de Lausanne,VD,CH
3134,Crissier,Crissier,District de l'Ouest lausannois,VD,CH
3135,Epalinges,Epalinges,District de Lausanne,VD,CH
3136,Jouxtens-Mézery,Jouxtens-Mézery,District de Lausanne,VD,CH
3137,Lausanne 25,Lausanne,District de Lausanne,VD,CH
3138,Lausanne 26,Lausanne,District de Lausanne,VD,CH
3139,Lausanne 27,Lausanne,District de Lausanne,VD,CH
3140,Lausanne,Lausanne,District de Lausanne,VD,CH
3141,Le Mont-sur-Lausanne,Le Mont-sur-Lausanne,District de Lausanne,VD,CH
3142,Paudex,Paudex,District de Lavaux-Oron,VD,CH
3143,Prilly,Prilly,District de l'Ouest lausannois,VD,CH
3144,Pully,Pully,District de Lavaux-Oron,VD,CH
3145,Les Monts-de-Pully,Pully,District de Lavaux-Oron,VD,CH
3146,Renens VD,Renens (VD),District de l'Ouest lausannois,VD,CH
3147,Romanel-sur-Lausanne,Romanel-sur-Lausanne,District de Lausanne,VD,CH
3148,Chexbres,Chexbres,District de Lavaux-Oron,VD,CH
3149,Forel (Lavaux),Forel (Lavaux),District de Lavaux-Oron,VD,CH
3150,La Croix (Lutry),Lutry,District de Lavaux-Oron,VD,CH
3151,La Conversion,Lutry,District de Lavaux-Oron,VD,CH
3152,Lutry,Lutry,District de Lavaux-Oron,VD,CH
3153,Puidoux,Puidoux,District de Lavaux-Oron,VD,CH
3154,Rivaz,Rivaz,District de Lavaux-Oron,VD,CH
3155,St-Saphorin (Lavaux),Saint-Saphorin (Lavaux),District de Lavaux-Oron,VD,CH
3156,Savigny,Savigny,District de Lavaux-Oron,VD,CH
3157,Mollie-Margot,Savigny,District de Lavaux-Oron,VD,CH
3158,Grandvaux,Bourg-en-Lavaux,District de Lavaux-Oron,VD,CH
3159,Aran,Bourg-en-Lavaux,District de Lavaux-Oron,VD,CH
3160,Chenaux,Bourg-en-Lavaux,District de Lavaux-Oron,VD,CH
3161,Cully,Bourg-en-Lavaux,District de Lavaux-Oron,VD,CH
3162,Villette (Lavaux),Bourg-en-Lavaux,District de Lavaux-Oron,VD,CH
3163,Riex,Bourg-en-Lavaux,District de Lavaux-Oron,VD,CH
3164,Epesses,Bourg-en-Lavaux,District de Lavaux-Oron,VD,CH
3165,Aclens,Aclens,District de Morges,VD,CH
3166,Bremblens,Bremblens,District de Morges,VD,CH
3167,Buchillon,Buchillon,District de Morges,VD,CH
3168,Bussigny,Bussigny,District de l'Ouest lausannois,VD,CH
3169,Chavannes-près-Renens,Chavannes-près-Renens,District de l'Ouest lausannois,VD,CH
3170,Chigny,Chigny,District de Morges,VD,CH
3171,Clarmont,Clarmont,District de Morges,VD,CH
3172,Denens,Denens,District de Morges,VD,CH
3173,Denges,Denges,District de Morges,VD,CH
3174,Echandens,Echandens,District de Morges,VD,CH
3175,Echichens,Echichens,District de Morges,VD,CH
3176,St-Saphorin-sur-Morges,Echichens,District de Morges,VD,CH
3177,Colombier VD,Echichens,District de Morges,VD,CH
3178,Monnaz,Echichens,District de Morges,VD,CH
3179,Ecublens VD,Ecublens (VD),District de l'Ouest lausannois,VD,CH
3180,Etoy,Etoy,District de Morges,VD,CH
3181,Lavigny,Lavigny,District de Morges,VD,CH
3182,Lonay,Lonay,District de Morges,VD,CH
3183,Lully VD,Lully (VD),District de Morges,VD,CH
3184,Lussy-sur-Morges,Lussy-sur-Morges,District de Morges,VD,CH
3185,Morges,Morges,District de Morges,VD,CH
3186,Préverenges,Préverenges,District de Morges,VD,CH
3187,Romanel-sur-Morges,Romanel-sur-Morges,District de Morges,VD,CH
3188,St-Prex,Saint-Prex,District de Morges,VD,CH
3189,St-Sulpice VD,Saint-Sulpice (VD),District de l'Ouest lausannois,VD,CH
3190,Tolochenaz,Tolochenaz,District de Morges,VD,CH
3191,Vaux-sur-Morges,Vaux-sur-Morges,District de Morges,VD,CH
3192,Villars-Ste-Croix,Villars-Sainte-Croix,District de l'Ouest lausannois,VD,CH
3193,Villars-sous-Yens,Villars-sous-Yens,District de Morges,VD,CH
3194,Vufflens-le-Château,Vufflens-le-Château,District de Morges,VD,CH
3195,Vullierens,Vullierens,District de Morges,VD,CH
3196,Yens,Yens,District de Morges,VD,CH
3197,Cottens VD,Hautemorges,District de Morges,VD,CH
3198,Reverolle,Hautemorges,District de Morges,VD,CH
3199,Bussy-Chardonney,Hautemorges,District de Morges,VD,CH
3200,Sévery,Hautemorges,District de Morges,VD,CH
3201,Pampigny,Hautemorges,District de Morges,VD,CH
3202,Apples,Hautemorges,District de Morges,VD,CH
3203,Boulens,Boulens,District du Gros-de-Vaud,VD,CH
3204,Bussy-sur-Moudon,Bussy-sur-Moudon,District de la Broye-Vully,VD,CH
3205,Chavannes-sur-Moudon,Chavannes-sur-Moudon,District de la Broye-Vully,VD,CH
3206,Curtilles,Curtilles,District de la Broye-Vully,VD,CH
3207,Dompierre VD,Dompierre (VD),District de la Broye-Vully,VD,CH
3208,Hermenches,Hermenches,District de la Broye-Vully,VD,CH
3209,Lovatens,Lovatens,District de la Broye-Vully,VD,CH
3210,Lucens,Lucens,District de la Broye-Vully,VD,CH
3211,Oulens-sur-Lucens,Lucens,District de la Broye-Vully,VD,CH
3212,Forel-sur-Lucens,Lucens,District de la Broye-Vully,VD,CH
3213,Cremin,Lucens,District de la Broye-Vully,VD,CH
3214,Brenles,Lucens,District de la Broye-Vully,VD,CH
3215,Chesalles-sur-Moudon,Lucens,District de la Broye-Vully,VD,CH
3216,Sarzens,Lucens,District de la Broye-Vully,VD,CH
3217,Moudon,Moudon,District de la Broye-Vully,VD,CH
3218,Ogens,Ogens,District du Gros-de-Vaud,VD,CH
3219,Prévonloup,Prévonloup,District de la Broye-Vully,VD,CH
3220,Rossenges,Rossenges,District de la Broye-Vully,VD,CH
3221,Syens,Syens,District de la Broye-Vully,VD,CH
3222,Villars-le-Comte,Villars-le-Comte,District de la Broye-Vully,VD,CH
3223,Vucherens,Vucherens,District de la Broye-Vully,VD,CH
3224,Chapelle-sur-Moudon,Montanaire,District du Gros-de-Vaud,VD,CH
3225,Martherenges,Montanaire,District du Gros-de-Vaud,VD,CH
3226,Peyres-Possens,Montanaire,District du Gros-de-Vaud,VD,CH
3227,Chanéaz,Montanaire,District du Gros-de-Vaud,VD,CH
3228,Thierrens,Montanaire,District du Gros-de-Vaud,VD,CH
3229,Correvon,Montanaire,District du Gros-de-Vaud,VD,CH
3230,Denezy,Montanaire,District du Gros-de-Vaud,VD,CH
3231,St-Cierges,Montanaire,District du Gros-de-Vaud,VD,CH
3232,Neyruz-sur-Moudon,Montanaire,District du Gros-de-Vaud,VD,CH
3233,Arnex-sur-Nyon,Arnex-sur-Nyon,District de Nyon,VD,CH
3234,Arzier-Le Muids,Arzier-Le Muids,District de Nyon,VD,CH
3235,Bassins,Bassins,District de Nyon,VD,CH
3236,Begnins,Begnins,District de Nyon,VD,CH
3237,Bogis-Bossey,Bogis-Bossey,District de Nyon,VD,CH
3238,Borex,Borex,District de Nyon,VD,CH
3239,Chavannes-de-Bogis,Chavannes-de-Bogis,District de Nyon,VD,CH
3240,Chavannes-des-Bois,Chavannes-des-Bois,District de Nyon,VD,CH
3241,Chéserex,Chéserex,District de Nyon,VD,CH
3242,Coinsins,Coinsins,District de Nyon,VD,CH
3243,Commugny,Commugny,District de Nyon,VD,CH
3244,Coppet,Coppet,District de Nyon,VD,CH
3245,Crans VD,Crans (VD),District de Nyon,VD,CH
3246,Crassier,Crassier,District de Nyon,VD,CH
3247,Duillier,Duillier,District de Nyon,VD,CH
3248,Eysins,Eysins,District de Nyon,VD,CH
3249,Founex,Founex,District de Nyon,VD,CH
3250,Genolier,Genolier,District de Nyon,VD,CH
3251,Gingins,Gingins,District de Nyon,VD,CH
3252,Givrins,Givrins,District de Nyon,VD,CH
3253,Gland,Gland,District de Nyon,VD,CH
3254,Grens,Grens,District de Nyon,VD,CH
3255,Mies,Mies,District de Nyon,VD,CH
3256,Nyon,Nyon,District de Nyon,VD,CH
3257,Prangins,Prangins,District de Nyon,VD,CH
3258,La Rippe,La Rippe,District de Nyon,VD,CH
3259,St-Cergue,Saint-Cergue,District de Nyon,VD,CH
3260,La Cure,Saint-Cergue,District de Nyon,VD,CH
3261,Signy,Signy-Avenex,District de Nyon,VD,CH
3262,Tannay,Tannay,District de Nyon,VD,CH
3263,Trélex,Trélex,District de Nyon,VD,CH
3264,Le Vaud,Le Vaud,District de Nyon,VD,CH
3265,Vich,Vich,District de Nyon,VD,CH
3266,L'Abergement,L'Abergement,District du Jura-Nord vaudois,VD,CH
3267,Agiez,Agiez,District du Jura-Nord vaudois,VD,CH
3268,Arnex-sur-Orbe,Arnex-sur-Orbe,District du Jura-Nord vaudois,VD,CH
3269,Ballaigues,Ballaigues,District du Jura-Nord vaudois,VD,CH
3270,Baulmes,Baulmes,District du Jura-Nord vaudois,VD,CH
3271,Bavois,Bavois,District du Jura-Nord vaudois,VD,CH
3272,Bofflens,Bofflens,District du Jura-Nord vaudois,VD,CH
3273,Bretonnières,Bretonnières,District du Jura-Nord vaudois,VD,CH
3274,Chavornay,Chavornay,District du Jura-Nord vaudois,VD,CH
3275,Corcelles-sur-Chavornay,Chavornay,District du Jura-Nord vaudois,VD,CH
3276,Essert-Pittet,Chavornay,District du Jura-Nord vaudois,VD,CH
3277,Les Clées,Les Clées,District du Jura-Nord vaudois,VD,CH
3278,La Russille,Les Clées,District du Jura-Nord vaudois,VD,CH
3279,Croy,Croy,District du Jura-Nord vaudois,VD,CH
3280,Juriens,Juriens,District du Jura-Nord vaudois,VD,CH
3281,Lignerolle,Lignerolle,District du Jura-Nord vaudois,VD,CH
3282,Montcherand,Montcherand,District du Jura-Nord vaudois,VD,CH
3283,Orbe,Orbe,District du Jura-Nord vaudois,VD,CH
3284,La Praz,La Praz,District du Jura-Nord vaudois,VD,CH
3285,Premier,Premier,District du Jura-Nord vaudois,VD,CH
3286,Rances,Rances,District du Jura-Nord vaudois,VD,CH
3287,Romainmôtier,Romainmôtier-Envy,District du Jura-Nord vaudois,VD,CH
3288,Sergey,Sergey,District du Jura-Nord vaudois,VD,CH
3289,Valeyres-sous-Rances,Valeyres-sous-Rances,District du Jura-Nord vaudois,VD,CH
3290,Vallorbe,Vallorbe,District du Jura-Nord vaudois,VD,CH
3291,Vaulion,Vaulion,District du Jura-Nord vaudois,VD,CH
3292,Vuiteboeuf,Vuiteboeuf,District du Jura-Nord vaudois,VD,CH
3293,Corcelles-le-Jorat,Corcelles-le-Jorat,District de la Broye-Vully,VD,CH
3294,Essertes,Oron,District de Lavaux-Oron,VD,CH
3295,Maracon,Maracon,District de Lavaux-Oron,VD,CH
3296,Montpreveyres,Montpreveyres,District de Lavaux-Oron,VD,CH
3297,Ropraz,Ropraz,District de la Broye-Vully,VD,CH
3298,Servion,Servion,District de Lavaux-Oron,VD,CH
3299,Les Cullayes,Servion,District de Lavaux-Oron,VD,CH
3300,Vulliens,Vulliens,District de la Broye-Vully,VD,CH
3301,Montaubion-Chardonney,Jorat-Menthue,District du Gros-de-Vaud,VD,CH
3302,Villars-Tiercelin,Jorat-Menthue,District du Gros-de-Vaud,VD,CH
3303,Peney-le-Jorat,Jorat-Menthue,District du Gros-de-Vaud,VD,CH
3304,Villars-Mendraz,Jorat-Menthue,District du Gros-de-Vaud,VD,CH
3305,Sottens,Jorat-Menthue,District du Gros-de-Vaud,VD,CH
3306,Palézieux,Oron,District de Lavaux-Oron,VD,CH
3307,Palézieux-Village,Oron,District de Lavaux-Oron,VD,CH
3308,Les Tavernes,Oron,District de Lavaux-Oron,VD,CH
3309,Les Thioleyres,Oron,District de Lavaux-Oron,VD,CH
3310,Oron-le-Châtel,Oron,District de Lavaux-Oron,VD,CH
3311,Bussigny-sur-Oron,Oron,District de Lavaux-Oron,VD,CH
3312,Chesalles-sur-Oron,Oron,District de Lavaux-Oron,VD,CH
3313,Oron-la-Ville,Oron,District de Lavaux-Oron,VD,CH
3314,Châtillens,Oron,District de Lavaux-Oron,VD,CH
3315,Vuibroye,Oron,District de Lavaux-Oron,VD,CH
3316,Ecoteaux,Oron,District de Lavaux-Oron,VD,CH
3317,Ferlens VD,Jorat-Mézières,District de Lavaux-Oron,VD,CH
3318,Mézières VD,Jorat-Mézières,District de Lavaux-Oron,VD,CH
3319,Carrouge VD,Jorat-Mézières,District de Lavaux-Oron,VD,CH
3320,Champtauroz,Champtauroz,District de la Broye-Vully,VD,CH
3321,Chevroux,Chevroux,District de la Broye-Vully,VD,CH
3322,Corcelles-près-Payerne,Corcelles-près-Payerne,District de la Broye-Vully,VD,CH
3323,Grandcour,Grandcour,District de la Broye-Vully,VD,CH
3324,Henniez,Henniez,District de la Broye-Vully,VD,CH
3325,Missy,Missy,District de la Broye-Vully,VD,CH
3326,Payerne,Payerne,District de la Broye-Vully,VD,CH
3327,Vers-chez-Perrin,Payerne,District de la Broye-Vully,VD,CH
3328,Trey,Trey,District de la Broye-Vully,VD,CH
3329,Treytorrens (Payerne),Treytorrens (Payerne),District de la Broye-Vully,VD,CH
3330,Sédeilles,Villarzel,District de la Broye-Vully,VD,CH
3331,Rossens VD,Villarzel,District de la Broye-Vully,VD,CH
3332,Villarzel,Villarzel,District de la Broye-Vully,VD,CH
3333,Granges-près-Marnand,Valbroye,District de la Broye-Vully,VD,CH
3334,Marnand,Valbroye,District de la Broye-Vully,VD,CH
3335,Seigneux,Valbroye,District de la Broye-Vully,VD,CH
3336,Sassel,Valbroye,District de la Broye-Vully,VD,CH
3337,Combremont-le-Grand,Valbroye,District de la Broye-Vully,VD,CH
3338,Combremont-le-Petit,Valbroye,District de la Broye-Vully,VD,CH
3339,Villars-Bramard,Valbroye,District de la Broye-Vully,VD,CH
3340,Cerniaz VD,Valbroye,District de la Broye-Vully,VD,CH
3341,Château-d'Oex,Château-d'Oex,District de la Riviera-Pays-d'Enhaut,VD,CH
3342,Les Moulins,Château-d'Oex,District de la Riviera-Pays-d'Enhaut,VD,CH
3343,L'Etivaz,Château-d'Oex,District de la Riviera-Pays-d'Enhaut,VD,CH
3344,La Lécherette,Château-d'Oex,District de la Riviera-Pays-d'Enhaut,VD,CH
3345,Rossinière,Rossinière,District de la Riviera-Pays-d'Enhaut,VD,CH
3346,La Tine,Rossinière,District de la Riviera-Pays-d'Enhaut,VD,CH
3347,Rougemont,Rougemont,District de la Riviera-Pays-d'Enhaut,VD,CH
3348,Flendruz,Rougemont,District de la Riviera-Pays-d'Enhaut,VD,CH
3349,Allaman,Allaman,District de Morges,VD,CH
3350,Bursinel,Bursinel,District de Nyon,VD,CH
3351,Bursins,Bursins,District de Nyon,VD,CH
3352,Burtigny,Burtigny,District de Nyon,VD,CH
3353,Dully,Dully,District de Nyon,VD,CH
3354,Essertines-sur-Rolle,Essertines-sur-Rolle,District de Nyon,VD,CH
3355,Gilly,Gilly,District de Nyon,VD,CH
3356,Luins,Luins,District de Nyon,VD,CH
3357,Mont-sur-Rolle,Mont-sur-Rolle,District de Nyon,VD,CH
3358,Perroy,Perroy,District de Nyon,VD,CH
3359,Rolle,Rolle,District de Nyon,VD,CH
3360,Tartegnin,Tartegnin,District de Nyon,VD,CH
3361,Vinzel,Vinzel,District de Nyon,VD,CH
3362,Le Pont,L'Abbaye,District du Jura-Nord vaudois,VD,CH
3363,L'Abbaye,L'Abbaye,District du Jura-Nord vaudois,VD,CH
3364,Les Bioux,L'Abbaye,District du Jura-Nord vaudois,VD,CH
3365,L'Orient,Le Chenit,District du Jura-Nord vaudois,VD,CH
3366,Le Sentier,Le Chenit,District du Jura-Nord vaudois,VD,CH
3367,Le Solliat,Le Chenit,District du Jura-Nord vaudois,VD,CH
3368,Le Brassus,Le Chenit,District du Jura-Nord vaudois,VD,CH
3369,Les Charbonnières,Le Lieu,District du Jura-Nord vaudois,VD,CH
3370,Le Lieu,Le Lieu,District du Jura-Nord vaudois,VD,CH
3371,Le Séchey,Le Lieu,District du Jura-Nord vaudois,VD,CH
3372,Blonay,Blonay - Saint-Légier,District de la Riviera-Pays-d'Enhaut,VD,CH
3373,Le Mont-Pèlerin,Chardonne,District de la Riviera-Pays-d'Enhaut,VD,CH
3374,Chardonne,Chardonne,District de la Riviera-Pays-d'Enhaut,VD,CH
3375,Corseaux,Corseaux,District de la Riviera-Pays-d'Enhaut,VD,CH
3376,Corsier-sur-Vevey,Corsier-sur-Vevey,District de la Riviera-Pays-d'Enhaut,VD,CH
3377,Les Monts-de-Corsier,Corsier-sur-Vevey,District de la Riviera-Pays-d'Enhaut,VD,CH
3378,Fenil-sur-Corsier,Corsier-sur-Vevey,District de la Riviera-Pays-d'Enhaut,VD,CH
3379,Jongny,Jongny,District de la Riviera-Pays-d'Enhaut,VD,CH
3380,Clarens,Montreux,District de la Riviera-Pays-d'Enhaut,VD,CH
3381,Chailly-Montreux,Montreux,District de la Riviera-Pays-d'Enhaut,VD,CH
3382,Brent,Montreux,District de la Riviera-Pays-d'Enhaut,VD,CH
3383,Montreux,Montreux,District de la Riviera-Pays-d'Enhaut,VD,CH
3384,Territet,Montreux,District de la Riviera-Pays-d'Enhaut,VD,CH
3385,Chernex,Montreux,District de la Riviera-Pays-d'Enhaut,VD,CH
3386,Glion,Montreux,District de la Riviera-Pays-d'Enhaut,VD,CH
3387,Caux,Montreux,District de la Riviera-Pays-d'Enhaut,VD,CH
3388,Chamby,Montreux,District de la Riviera-Pays-d'Enhaut,VD,CH
3389,Villard-sur-Chamby,Montreux,District de la Riviera-Pays-d'Enhaut,VD,CH
3390,Les Avants,Montreux,District de la Riviera-Pays-d'Enhaut,VD,CH
3391,St-Légier-La Chiésaz,Blonay - Saint-Légier,District de la Riviera-Pays-d'Enhaut,VD,CH
3392,La Tour-de-Peilz,La Tour-de-Peilz,District de la Riviera-Pays-d'Enhaut,VD,CH
3393,Vevey,Vevey,District de la Riviera-Pays-d'Enhaut,VD,CH
3394,Veytaux,Veytaux,District de la Riviera-Pays-d'Enhaut,VD,CH
3395,Belmont-sur-Yverdon,Belmont-sur-Yverdon,District du Jura-Nord vaudois,VD,CH
3396,Bioley-Magnoux,Bioley-Magnoux,District du Jura-Nord vaudois,VD,CH
3397,Chamblon,Chamblon,District du Jura-Nord vaudois,VD,CH
3398,Champvent,Champvent,District du Jura-Nord vaudois,VD,CH
3399,Essert-sous-Champvent,Champvent,District du Jura-Nord vaudois,VD,CH
3400,Villars-sous-Champvent,Champvent,District du Jura-Nord vaudois,VD,CH
3401,Chavannes-le-Chêne,Chavannes-le-Chêne,District du Jura-Nord vaudois,VD,CH
3402,Chêne-Pâquier,Chêne-Pâquier,District du Jura-Nord vaudois,VD,CH
3403,Cheseaux-Noréaz,Cheseaux-Noréaz,District du Jura-Nord vaudois,VD,CH
3404,Cronay,Cronay,District du Jura-Nord vaudois,VD,CH
3405,Cuarny,Cuarny,District du Jura-Nord vaudois,VD,CH
3406,Démoret,Démoret,District du Jura-Nord vaudois,VD,CH
3407,Donneloye,Donneloye,District du Jura-Nord vaudois,VD,CH
3408,Gossens,Donneloye,District du Jura-Nord vaudois,VD,CH
3409,Mézery-près-Donneloye,Donneloye,District du Jura-Nord vaudois,VD,CH
3410,Prahins,Donneloye,District du Jura-Nord vaudois,VD,CH
3411,Ependes VD,Ependes (VD),District du Jura-Nord vaudois,VD,CH
3412,Mathod,Mathod,District du Jura-Nord vaudois,VD,CH
3413,Molondin,Molondin,District du Jura-Nord vaudois,VD,CH
3414,Montagny-près-Yverdon,Montagny-près-Yverdon,District du Jura-Nord vaudois,VD,CH
3415,Oppens,Oppens,District du Gros-de-Vaud,VD,CH
3416,Orges,Orges,District du Jura-Nord vaudois,VD,CH
3417,Orzens,Orzens,District du Jura-Nord vaudois,VD,CH
3418,Pomy,Pomy,District du Jura-Nord vaudois,VD,CH
3419,Rovray,Rovray,District du Jura-Nord vaudois,VD,CH
3420,Suchy,Suchy,District du Jura-Nord vaudois,VD,CH
3421,Suscévaz,Suscévaz,District du Jura-Nord vaudois,VD,CH
3422,Treycovagnes,Treycovagnes,District du Jura-Nord vaudois,VD,CH
3423,Ursins,Ursins,District du Jura-Nord vaudois,VD,CH
3424,Valeyres-sous-Montagny,Valeyres-sous-Montagny,District du Jura-Nord vaudois,VD,CH
3425,Valeyres-sous-Ursins,Valeyres-sous-Ursins,District du Jura-Nord vaudois,VD,CH
3426,Villars-Epeney,Villars-Epeney,District du Jura-Nord vaudois,VD,CH
3427,Vugelles-La Mothe,Vugelles-La Mothe,District du Jura-Nord vaudois,VD,CH
3428,Yverdon-les-Bains,Yverdon-les-Bains,District du Jura-Nord vaudois,VD,CH
3429,Gressy,Yverdon-les-Bains,District du Jura-Nord vaudois,VD,CH
3430,Yvonand,Yvonand,District du Jura-Nord vaudois,VD,CH
3431,Brig,Brig-Glis,Bezirk Brig,VS,CH
3432,Gamsen,Brig-Glis,Bezirk Brig,VS,CH
3433,Brigerbad,Brig-Glis,Bezirk Brig,VS,CH
3434,Glis,Brig-Glis,Bezirk Brig,VS,CH
3435,Eggerberg,Eggerberg,Bezirk Brig,VS,CH
3436,Mund,Naters,Bezirk Brig,VS,CH
3437,Birgisch,Naters,Bezirk Brig,VS,CH
3438,Naters,Naters,Bezirk Brig,VS,CH
3439,Blatten b. Naters,Naters,Bezirk Brig,VS,CH
3440,Belalp,Naters,Bezirk Brig,VS,CH
3441,Rothwald,Ried-Brig,Bezirk Brig,VS,CH
3442,Ried-Brig,Ried-Brig,Bezirk Brig,VS,CH
3443,Simplon Dorf,Simplon,Bezirk Brig,VS,CH
3444,Simplon Hospiz,Simplon,Bezirk Brig,VS,CH
3445,Gabi (Simplon),Simplon,Bezirk Brig,VS,CH
3446,Termen,Termen,Bezirk Brig,VS,CH
3447,Rosswald,Termen,Bezirk Brig,VS,CH
3448,Gondo,Zwischbergen,Bezirk Brig,VS,CH
3449,Ardon,Ardon,District de Conthey,VS,CH
3450,Chamoson,Chamoson,District de Conthey,VS,CH
3451,Mayens-de-Chamoson,Chamoson,District de Conthey,VS,CH
3452,Les Vérines (Chamoson),Chamoson,District de Conthey,VS,CH
3453,Némiaz (Chamoson),Chamoson,District de Conthey,VS,CH
3454,Grugnay (Chamoson),Chamoson,District de Conthey,VS,CH
3455,St-Pierre-de-Clages,Chamoson,District de Conthey,VS,CH
3456,Conthey,Conthey,District de Conthey,VS,CH
3457,St-Séverin,Conthey,District de Conthey,VS,CH
3458,Erde,Conthey,District de Conthey,VS,CH
3459,Aven,Conthey,District de Conthey,VS,CH
3460,Daillon,Conthey,District de Conthey,VS,CH
3461,Clèbes (Nendaz),Nendaz,District de Conthey,VS,CH
3462,Aproz (Nendaz),Nendaz,District de Conthey,VS,CH
3463,Basse-Nendaz,Nendaz,District de Conthey,VS,CH
3464,Fey (Nendaz),Nendaz,District de Conthey,VS,CH
3465,Bieudron (Nendaz),Nendaz,District de Conthey,VS,CH
3466,Condémines (Nendaz),Nendaz,District de Conthey,VS,CH
3467,Saclentse,Nendaz,District de Conthey,VS,CH
3468,Baar (Nendaz),Nendaz,District de Conthey,VS,CH
3469,Beuson (Nendaz),Nendaz,District de Conthey,VS,CH
3470,Brignon (Nendaz),Nendaz,District de Conthey,VS,CH
3471,Haute-Nendaz,Nendaz,District de Conthey,VS,CH
3472,Siviez (Nendaz),Nendaz,District de Conthey,VS,CH
3473,Sornard (Nendaz),Nendaz,District de Conthey,VS,CH
3474,Vétroz,Vétroz,District de Conthey,VS,CH
3475,Bourg-St-Pierre,Bourg-Saint-Pierre,District d'Entremont,VS,CH
3476,Liddes,Liddes,District d'Entremont,VS,CH
3477,Fontaine Dessus (Liddes),Liddes,District d'Entremont,VS,CH
3478,Fontaine Dessous (Liddes),Liddes,District d'Entremont,VS,CH
3479,Dranse (Liddes),Liddes,District d'Entremont,VS,CH
3480,Chandonne (Liddes),Liddes,District d'Entremont,VS,CH
3481,Rive Haute (Liddes),Liddes,District d'Entremont,VS,CH
3482,Fornex (Liddes),Liddes,District d'Entremont,VS,CH
3483,Les Moulins VS (Liddes),Liddes,District d'Entremont,VS,CH
3484,Vichères (Liddes),Liddes,District d'Entremont,VS,CH
3485,Palasuit (Liddes),Liddes,District d'Entremont,VS,CH
3486,Chez Petit (Liddes),Liddes,District d'Entremont,VS,CH
3487,Petit Vichères (Liddes),Liddes,District d'Entremont,VS,CH
3488,Orsières,Orsières,District d'Entremont,VS,CH
3489,Champex-Lac,Orsières,District d'Entremont,VS,CH
3490,Praz-de-Fort,Orsières,District d'Entremont,VS,CH
3491,La Fouly VS,Orsières,District d'Entremont,VS,CH
3492,Sembrancher,Sembrancher,District d'Entremont,VS,CH
3493,Chamoille (Sembrancher),Sembrancher,District d'Entremont,VS,CH
3494,La Garde (Sembrancher),Sembrancher,District d'Entremont,VS,CH
3495,Chemin,Val de Bagnes,District d'Entremont,VS,CH
3496,Vens (Sembrancher),Val de Bagnes,District d'Entremont,VS,CH
3497,Le Châble VS,Val de Bagnes,District d'Entremont,VS,CH
3498,Bruson,Val de Bagnes,District d'Entremont,VS,CH
3499,Verbier,Val de Bagnes,District d'Entremont,VS,CH
3500,Vollèges,Val de Bagnes,District d'Entremont,VS,CH
3501,Cries (Vollèges),Val de Bagnes,District d'Entremont,VS,CH
3502,Levron,Val de Bagnes,District d'Entremont,VS,CH
3503,Versegères,Val de Bagnes,District d'Entremont,VS,CH
3504,Champsec,Val de Bagnes,District d'Entremont,VS,CH
3505,Lourtier,Val de Bagnes,District d'Entremont,VS,CH
3506,Fionnay,Val de Bagnes,District d'Entremont,VS,CH
3507,Sarreyer,Val de Bagnes,District d'Entremont,VS,CH
3508,Bellwald,Bellwald,Bezirk Goms,VS,CH
3509,Binn,Binn,Bezirk Goms,VS,CH
3510,Ernen,Ernen,Bezirk Goms,VS,CH
3511,Ausserbinn,Ernen,Bezirk Goms,VS,CH
3512,Mühlebach (Goms),Ernen,Bezirk Goms,VS,CH
3513,Steinhaus,Ernen,Bezirk Goms,VS,CH
3514,Fiesch,Fiesch,Bezirk Goms,VS,CH
3515,Jungfraujoch,Fieschertal,Bezirk Goms,VS,CH
3516,Fieschertal,Fieschertal,Bezirk Goms,VS,CH
3517,Lax,Lax,Bezirk Goms,VS,CH
3518,Ulrichen,Obergoms,Bezirk Goms,VS,CH
3519,Obergesteln,Obergoms,Bezirk Goms,VS,CH
3520,Oberwald,Obergoms,Bezirk Goms,VS,CH
3521,Münster VS,Goms,Bezirk Goms,VS,CH
3522,Geschinen,Goms,Bezirk Goms,VS,CH
