"Line number in raw-data/historische_familiennnamen.csv";"Name";"Canton";"Commune";"Reason"
212025;"von Scheele";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212026;"von Schenk";"ZH";"Dielsdorf";"Duplicate entry in historische_familiennamen.csv"
212027;"von Schierstaedt";"TG";"Langenhart";"Duplicate entry in historische_familiennamen.csv"
212028;"von Schmid";"AG";"Böttstein";"Duplicate entry in historische_familiennamen.csv"
212029;"von Schmid";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
212030;"von Schmid";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212031;"von Schmid";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212032;"von Schoultz";"ZH";"Männedorf";"Duplicate entry in historische_familiennamen.csv"
212033;"von Schroeder";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
212034;"von Schroeder";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212035;"von Schulthess Rechberg";"ZH";"Männedorf";"Duplicate entry in historische_familiennamen.csv"
212036;"von Schulthess Rechberg";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212037;"von Schulthess Rechberg";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212038;"von Schumacher";"LU";"Luzern";"Duplicate entry in historische_familiennamen.csv"
212039;"von Schwarzenberg";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212040;"von Schwech";"BL";"Reinach";"Duplicate entry in historische_familiennamen.csv"
212041;"von Schwerzenbach";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212042;"von Schännis";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212043;"von Seidlitz";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
212044;"von Selve";"BE";"Thun";"Duplicate entry in historische_familiennamen.csv"
212045;"von Senger";"GE";"Genève";"Duplicate entry in historische_familiennamen.csv"
212046;"von Sepibus";"VS";"Mörel";"Duplicate entry in historische_familiennamen.csv"
212047;"von Siebenthal";"BE";"Saanen";"Duplicate entry in historische_familiennamen.csv"
212048;"von Siebenthal";"GE";"Genève";"Duplicate entry in historische_familiennamen.csv"
212049;"von Siebenthal";"VD";"Champagne";"Duplicate entry in historische_familiennamen.csv"
212050;"von Siebenthal";"VD";"Lausanne";"Duplicate entry in historische_familiennamen.csv"
212051;"von Siebenthal";"VD";"Lutry";"Duplicate entry in historische_familiennamen.csv"
212052;"von Siebenthal";"VD";"Montreux";"Duplicate entry in historische_familiennamen.csv"
212053;"von Siebenthal";"VD";"Renens";"Duplicate entry in historische_familiennamen.csv"
212054;"von Siebenthal";"VD";"Rougemont";"Duplicate entry in historische_familiennamen.csv"
212055;"von Siebenthal";"VD";"Saint-George";"Duplicate entry in historische_familiennamen.csv"
212056;"von Siebenthal";"VD";"Sainte-Croix";"Duplicate entry in historische_familiennamen.csv"
212057;"von Siebenthal";"VD";"Yverdon";"Duplicate entry in historische_familiennamen.csv"
212058;"von Sinner";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
212059;"von Sinner";"GE";"Genève";"Duplicate entry in historische_familiennamen.csv"
212060;"von Sonnenberg";"GE";"Genève";"Duplicate entry in historische_familiennamen.csv"
212061;"von Sonnenberg";"LU";"Luzern";"Duplicate entry in historische_familiennamen.csv"
212062;"von Spallart";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
212063;"von Spallart";"SO";"Flumenthal";"Duplicate entry in historische_familiennamen.csv"
212064;"von Sparr";"NE";"Neuchâtel";"Duplicate entry in historische_familiennamen.csv"
212065;"von Sparr";"ZH";"Knonau";"Duplicate entry in historische_familiennamen.csv"
212066;"von Speyr";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
212067;"von Steiger";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
212068;"von Steiger";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
212069;"von Steiger";"BE";"Langnau im Emmental";"Duplicate entry in historische_familiennamen.csv"
212070;"von Steiger";"BE";"Tschugg";"Duplicate entry in historische_familiennamen.csv"
212071;"von Stern";"ZH";"Wetzikon";"Duplicate entry in historische_familiennamen.csv"
212072;"von Stern";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212073;"von Stillfried und Rattowitz";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212074;"von Stockalper";"VS";"Brig";"Duplicate entry in historische_familiennamen.csv"
212075;"von Stockalper";"VS";"Glis";"Duplicate entry in historische_familiennamen.csv"
212076;"von Stockalper";"VS";"Mörel";"Duplicate entry in historische_familiennamen.csv"
212077;"von Stockalper";"VS";"Ried bei Brig";"Duplicate entry in historische_familiennamen.csv"
212078;"von Stockar-Scherer-Castell";"TG";"Tägerwilen";"Duplicate entry in historische_familiennamen.csv"
212079;"von Stockar-Scherer-Castell";"ZH";"Zürich";"Duplicate entry in historische_familiennamen.csv"
212080;"von Stocki";"GE";"Genève";"Duplicate entry in historische_familiennamen.csv"
212081;"von Stremayr";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
212082;"von Streng";"TG";"Sirnach";"Duplicate entry in historische_familiennamen.csv"
212083;"von Streng";"TG";"Tägerschen";"Duplicate entry in historische_familiennamen.csv"
212084;"von Stürler";"BE";"Bern";"Duplicate entry in historische_familiennamen.csv"
212085;"von Sury";"BS";"Basel";"Duplicate entry in historische_familiennamen.csv"
212086;"von Sury";"GE";"Genève";"Duplicate entry in historische_familiennamen.csv"
212087;"von Sury";"LU";"Luzern";"Duplicate entry in historische_familiennamen.csv"
212088;"von Sury";"SO";"Solothurn";"Duplicate entry in historische_familiennamen.csv"
212089;"von Sury d'Aspremont";"SO";"Solothurn";"Duplicate entry in historische_familiennamen.csv"
