Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Menznau;6122;0;Menznau;1136;LU;2645615.058;1214954.518;de
Geiss;6123;0;Menznau;1136;LU;2646876.211;1215653.348;de
Menzberg;6125;0;Menznau;1136;LU;2642532.894;1210168.699;de
Nebikon;6244;0;Nebikon;1137;LU;2640623.014;1226836.245;de
St. Urban;4915;0;Pfaffnau;1139;LU;2630373.583;1231353.959;de
Pfaffnau;6264;0;Pfaffnau;1139;LU;2634812.056;1230947.687;de
Reiden;6260;0;Reiden;1140;LU;2640394.949;1232650.925;de
Reidermoos;6260;2;Reiden;1140;LU;2641742.095;1233880.669;de
Mehlsecken;6260;4;Reiden;1140;LU;2639405.664;1232859.345;de
Langnau b. Reiden;6262;0;Reiden;1140;LU;2639725.546;1231264.471;de
Richenthal;6263;0;Reiden;1140;LU;2638462.390;1229951.896;de
Roggliswil;6265;0;Roggliswil;1142;LU;2633911.838;1229113.288;de
Ohmstal;6143;0;Schötz;1143;LU;2638864.401;1223692.565;de
Schötz;6247;0;Schötz;1143;LU;2641725.315;1224419.011;de
Ufhusen;6153;0;Ufhusen;1145;LU;2635011.750;1218610.939;de
Wauwil;6242;0;Wauwil;1146;LU;2644258.955;1226313.459;de
Wikon;4806;0;Wikon;1147;LU;2640003.469;1234836.009;de
Hintermoos;6260;3;Wikon;1147;LU;2642363.480;1235620.625;de
Zell LU;6144;0;Zell (LU);1150;LU;2636716.197;1221116.497;de
Hüswil;6152;0;Zell (LU);1150;LU;2635199.779;1219758.965;de
Daiwil;6126;0;Willisau;1151;LU;2643590.170;1216391.917;de
Willisau;6130;0;Willisau;1151;LU;2641817.196;1218918.008;de
Rohrmatt;6132;0;Willisau;1151;LU;2641494.567;1214730.608;de
Gettnau;6142;0;Willisau;1151;LU;2640307.166;1221379.449;de
Altdorf UR;6460;0;Altdorf (UR);1201;UR;2691739.192;1193170.408;de
Andermatt;6490;0;Andermatt;1202;UR;2688730.939;1165164.699;de
Attinghausen;6468;0;Attinghausen;1203;UR;2690376.899;1191109.033;de
Bürglen UR;6463;0;Bürglen (UR);1205;UR;2693292.228;1192292.041;de
Erstfeld;6472;0;Erstfeld;1206;UR;2692465.698;1186175.701;de
Flüelen;6454;0;Flüelen;1207;UR;2690664.434;1195605.774;de
Göschenen;6487;0;Göschenen;1208;UR;2687638.340;1169347.340;de
Intschi;6476;0;Gurtnellen;1209;UR;2692519.369;1179522.292;de
Gurtnellen;6482;0;Gurtnellen;1209;UR;2690933.014;1177000.993;de
Hospental;6493;0;Hospental;1210;UR;2686865.029;1163725.219;de
Isenthal;6461;0;Isenthal;1211;UR;2685500.605;1196245.389;de
Realp;6491;0;Realp;1212;UR;2681469.072;1161383.098;de
Schattdorf;6467;0;Schattdorf;1213;UR;2693040.410;1191049.209;de
Haldi b. Schattdorf;6469;0;Schattdorf;1213;UR;2694274.558;1190820.200;de
Seedorf UR;6462;0;Seedorf (UR);1214;UR;2689325.689;1193212.626;de
Bauen;6466;0;Seedorf (UR);1214;UR;2686731.986;1198856.905;de
Seelisberg;6377;0;Seelisberg;1215;UR;2687278.333;1203147.164;de
Rütli;6441;2;Seelisberg;1215;UR;2687834.460;1202600.473;de
Silenen;6473;0;Silenen;1216;UR;2694223.391;1183040.122;de
Amsteg;6474;0;Silenen;1216;UR;2694104.770;1180681.613;de
Bristen;6475;0;Silenen;1216;UR;2695659.288;1180563.753;de
Sisikon;6452;0;Sisikon;1217;UR;2690207.293;1200346.285;de
Spiringen;6464;0;Spiringen;1218;UR;2698327.294;1191906.214;de
Urnerboden;8751;0;Spiringen;1218;UR;2711553.376;1194134.351;de
Unterschächen;6465;0;Unterschächen;1219;UR;2701395.573;1190867.724;de
Wassen UR;6484;0;Wassen;1220;UR;2688481.119;1173446.761;de
Meien;6485;0;Wassen;1220;UR;2684911.101;1175545.901;de
Bennau;8836;0;Einsiedeln;1301;SZ;2697933.589;1222763.248;de
Einsiedeln;8840;0;Einsiedeln;1301;SZ;2699480.819;1220540.061;de
Trachslau;8840;2;Einsiedeln;1301;SZ;2697685.523;1217110.935;de
Gross;8841;0;Einsiedeln;1301;SZ;2701525.554;1219185.020;de
Euthal;8844;0;Einsiedeln;1301;SZ;2704596.868;1217000.050;de
Willerzell;8846;0;Einsiedeln;1301;SZ;2702838.434;1220761.341;de
Egg SZ;8847;0;Einsiedeln;1301;SZ;2701756.486;1224241.286;de
Rigi Scheidegg;6410;5;Gersau;1311;SZ;2682274.585;1209038.264;de
Gersau;6442;0;Gersau;1311;SZ;2682787.601;1205215.016;de
Schindellegi;8834;0;Feusisberg;1321;SZ;2696582.380;1225607.769;de
Feusisberg;8835;0;Feusisberg;1321;SZ;2699214.475;1227135.158;de
Hurden;8640;3;Freienbach;1322;SZ;2703565.443;1230162.921;de
Bäch SZ;8806;0;Freienbach;1322;SZ;2698042.465;1228915.889;de
Freienbach;8807;0;Freienbach;1322;SZ;2700150.305;1229108.359;de
Pfäffikon SZ;8808;0;Freienbach;1322;SZ;2701481.465;1228580.698;de
Wollerau;8832;0;Freienbach;1322;SZ;2699555.139;1228088.474;de
Wilen b. Wollerau;8832;2;Freienbach;1322;SZ;2698202.039;1228150.311;de
Wollerau;8832;0;Wollerau;1323;SZ;2697009.570;1228015.340;de
Merlischachen;6402;0;Küssnacht (SZ);1331;SZ;2673637.543;1213271.944;de
Küssnacht am Rigi;6403;0;Küssnacht (SZ);1331;SZ;2676050.708;1214860.694;de
Immensee;6405;0;Küssnacht (SZ);1331;SZ;2677651.783;1216582.589;de
Altendorf;8852;0;Altendorf;1341;SZ;2705506.254;1227714.096;de
Galgenen;8854;2;Galgenen;1342;SZ;2708806.546;1226701.414;de
Innerthal;8858;0;Innerthal;1343;SZ;2712379.565;1218305.729;de
Lachen SZ;8853;0;Lachen;1344;SZ;2707535.969;1228362.064;de
Reichenburg;8864;0;Reichenburg;1345;SZ;2716409.866;1225636.918;de
Siebnen;8854;0;Schübelbach;1346;SZ;2710558.986;1226049.222;de
Schübelbach;8862;0;Schübelbach;1346;SZ;2712917.207;1225769.607;de
Buttikon SZ;8863;0;Schübelbach;1346;SZ;2714823.286;1225863.753;de
Tuggen;8856;0;Tuggen;1347;SZ;2713786.922;1229147.384;de
Vorderthal;8857;0;Vorderthal;1348;SZ;2710851.116;1220114.573;de
Wangen SZ;8855;0;Wangen (SZ);1349;SZ;2710407.423;1227889.981;de
Alpthal;8849;0;Alpthal;1361;SZ;2697032.789;1214090.334;de
Goldau;6410;0;Arth;1362;SZ;2684063.045;1211212.229;de
Rigi Klösterli;6410;2;Arth;1362;SZ;2679571.481;1210805.625;de
Rigi Staffel;6410;3;Arth;1362;SZ;2678763.469;1211927.066;de
Rigi Kulm;6410;4;Arth;1362;SZ;2679338.199;1212100.084;de
Oberarth;6414;0;Arth;1362;SZ;2683191.818;1212253.708;de
Arth;6415;0;Arth;1362;SZ;2682383.651;1213076.665;de
Illgau;6434;0;Illgau;1363;SZ;2697727.484;1204861.153;de
Brunnen;6440;0;Ingenbohl;1364;SZ;2688736.101;1205475.167;de
Lauerz;6424;0;Lauerz;1365;SZ;2686753.736;1210004.266;de
Stoos SZ;6433;0;Morschach;1366;SZ;2693269.904;1203993.341;de
Morschach;6443;0;Morschach;1366;SZ;2689906.850;1204072.773;de
Muotathal;6436;0;Muotathal;1367;SZ;2700531.223;1203787.160;de
Bisisthal;6436;2;Muotathal;1367;SZ;2706036.901;1200145.261;de
Ried (Muotathal);6436;3;Muotathal;1367;SZ;2697013.523;1204711.156;de
Oberiberg;8843;0;Oberiberg;1368;SZ;2702428.065;1210953.455;de
Riemenstalden;6452;2;Riemenstalden;1369;SZ;2693464.950;1200275.855;de
Rothenthurm;6418;0;Rothenthurm;1370;SZ;2693856.534;1217858.148;de
Sattel;6417;0;Sattel;1371;SZ;2691055.117;1215443.710;de
Seewen SZ;6423;0;Schwyz;1372;SZ;2690625.688;1209434.803;de
Schwyz;6430;0;Schwyz;1372;SZ;2692371.713;1208527.203;de
Rickenbach b. Schwyz;6432;0;Schwyz;1372;SZ;2693305.080;1207990.886;de
Ibach;6438;0;Schwyz;1372;SZ;2691718.127;1207571.588;de
Steinen;6422;0;Steinen;1373;SZ;2689245.435;1211672.839;de
