LOC:INFO;LOC:NAME;LOC:CANTON;NS1:PLACEOFORIGINNAME;NS1:CANTONABBREVIATION;NS1:PLACEOFORIGINID;NS1:SUCCESSORID;NS1:HISTORYMUNICIPALITYID;NS1:VALIDFROM;NS1:VALIDTO;COMMENT;EDITOR
MANUAL;Le Pâquier NE;NE;Le Pâquier (Val-de-Ruz);NE;7938;;;01.01.2013;;;
MANUAL;St. Gallen;SG;St. Gallen-Tablat;SG;7867;;;;;;
MANUAL;Samnaun Dorf;GR;Samnaun;GR;3752;;16000;;;grösste Gemeinde;
MANUAL;Forel FR;FR;Estavayer (Vernay);FR;7141;;;01.01.2017;;Sitz der Verwaltung vor der Fusion in Forel FR;
MANUAL;St-Prex;VD;Saint-Prex;VD;5646;;14587;;;;
MANUAL;Bouveret;VS;Port-Valais;VS;6154;;13075;;;grösste Gemeinde;
MANUAL;St-Sulpice VD;VD;Saint-Sulpice;VD;5648;;14590;;;;
MANUAL;Farvagny-le-Grand;FR;Gibloux (Le Glèbe);FR;7261;;;01.01.2017;;grösste Gemeinde;
MANUAL;St-Ursanne;JU;Clos du Doubs;JU;6808;;14965;01.01.2009;;grösste Gemeinde;
MANUAL;Saas im Prättigau;GR;Klosters (Saas);GR;7561;;;20.02.2021;;;
MANUAL;Plasselb;FR;Plasselb (Neuhaus);FR;7306;;;01.01.2017;;;
MANUAL;Ocourt;JU;Ocourt (Clos du Doubs);JU;7115;;;01.03.2016;;;
MANUAL;St-Saphorin-sur-Morges;VD;Echichens (Saint-Saphorin-sur-Morges);VD;7039;;;01.01.2016;;;
MANUAL;Farvagny-le-Grand;FR;Gibloux (Farvagny);FR;7260;;;01.01.2017;;grössere Farvagny Gemeinde gewählt;
MANUAL;Lohn-Ammannsegg;SO;Ammannsegg;SO;7858;;;;;;
MANUAL;Boll;BE;Vechigen;BE;359;;15037;;;grösste Gemeinde;
MANUAL;Lauenen b. Gstaad;BE;Lauenen;BE;842;;15280;;;;
MANUAL;Aumont;FR;Les Montets;FR;2050;;14474;01.01.2004;;grösste Gemeinde;
MANUAL;Nax;VS;Mont-Noble;VS;6090;;15485;01.01.2011;;grösste Gemeinde;
MANUAL;Lohn-Ammannsegg;SO;Lohn;SO;7859;;;;;;
MANUAL;Egg b. Zürich;ZH;Egg;ZH;192;;12123;;;;
MANUAL;Gumefens;FR;Pont-en-Ogoz;FR;2122;;14368;01.01.2003;;grösste Gemeinde;
MANUAL;Le Châble VS;VS;Val de Bagnes;VS;6037;;16601;01.01.2021;;Hauptort;
MANUAL;Rüschegg Heubach;BE;Rüschegg;BE;853;;15284;;;grösste Gemeinde;
MANUAL;Stadel b. Niederglatt;ZH;Stadel;ZH;100;;10383;;;mehrere Orte;
MANUAL;Kradolf;TG;Kradolf-Schönenberg;TG;4501;;15448;;;;
MANUAL;Oron-la-Ville;VD;Oron;VD;5805;;15504;01.01.2012;;grösste Gemeinde;
MANUAL;Vermes;JU;Vermes (Val Terbi);JU;7128;;;01.03.2016;;;
MANUAL;Mannens;FR;Montagny (Mannens-Grandsivaz);FR;7152;;;01.01.2017;;;
MANUAL;Môtier (Vully);FR;Mont-Vully (Haut-Vully);FR;7303;;;01.01.2017;;Haut-Vully wurde zu Mont-Vully (Hauptort), als einzelne Gemeinde nicht in Liste aufgeführt. Môtier (Vully) ist die grösste Gemeinde von Haut-Vully.;AW
MANUAL;Boudevilliers;NE;Boudevilliers (Val-de-Ruz);NE;7926;;;01.01.2013;;;
MANUAL;Fresens;NE;Fresens (La Grande Béroche);NE;7515;;;01.01.2018;;;
MANUAL;Malvaglia;TI;Serravalle;TI;5050;;15509;01.04.2012;;grösste Gemeinde;
MANUAL;Haag (Rheintal);SG;Sennwald-Haag;SG;7876;;;;;;
MANUAL;Fregiécourt;JU;Fregiécourt (La Baroche);JU;7105;;;01.03.2016;;;
MANUAL;St-Aubin-Sauges;NE;Saint-Aubin-Sauges (La Grande Béroche);NE;7518;;;01.01.2018;;;
MANUAL;Erlinsbach SO;SO;Obererlinsbach;SO;2496;;;01.01.2006;;;
MANUAL;Chevenez;JU;Chevenez (Haute-Ajoie);JU;7118;;;01.03.2016;;;
MANUAL;Loco;TI;Onsernone;TI;5136;;15686;;;grösste Gemeinde;
MANUAL;Malleray;BE;Valbirse;BE;717;;15661;01.01.2015;;grösste Gemeinde;
MANUAL;Murist;FR;Estavayer (Montborget);FR;7148;;;01.01.2017;;;
MANUAL;Wahlen b. Laufen;BL;Wahlen;BL;2792;;13850;01.01.1994;;;
MANUAL;Blatten (Lötschen);VS;Blatten;VS;6192;;11818;;;;
MANUAL;Flims Dorf;GR;Flims;GR;3732;;15997;;;vermutlich grösste Gemeinde;
MANUAL;Mezzovico;TI;Mezzovico-Vira;TI;5199;;12442;;;mehrere Orte;
MANUAL;Montagnola;TI;Collina d'Oro;TI;5236;;15512;04.04.2004;;grösste Gemeinde;
MANUAL;Hasle b. Burgdorf;BE;Hasle bei Burgdorf;BE;406;;15063;;;;
MANUAL;Montreux;VD;Montreux (Montreux-Planches);VD;7018;;;01.01.2016;;;
MANUAL;Morens FR;FR;Estavayer (Morens (FR));FR;7138;;;01.01.2017;;;
MANUAL;Cerniat FR;FR;Val-de-Charmey;FR;2163;;15640;01.01.2014;;grösste Gemeinde;
MANUAL;Monteggio;TI;Tresa;TI;5239;;16611;19.04.2021;;grösste Gemeinde;
MANUAL;Uors (Lumnezia);GR;Lumnezia (Suraua);GR;7425;;;01.01.2018;;"""2002 hervorgegangen aus der Fusion von Camuns, Surcasti, Tersnaus und Uors-Peiden."" -> davon grösste Gemeinde";
MANUAL;Mühledorf SO;SO;Buchegg;SO;2465;;15642;01.01.2014;;grösste Gemeinde;
MANUAL;Savagnier;NE;Savagnier (Val-de-Ruz);NE;7939;;;01.01.2013;;;
MANUAL;St-Brais;JU;Saint-Brais;JU;6758;;13316;01.01.1979;;;
MANUAL;Cousset;FR;Montagny;FR;2029;;14475;01.01.2000;;grösste Gemeinde;
MANUAL;Bergün/Bravuogn;GR;Bergün Filisur;GR;3544;;16085;01.01.2018;;grösste Gemeinde;
MANUAL;St. Antönien;GR;Luzein (St. Antönien-Rüti);GR;7348;;;01.01.2018;;;
